B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 1
S03, Blotteritem, {'type': 'Trade', 'time': 444.9249999998692, 'price': 92, 'party1': 'B08', 'party2': 'S03', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 469.8749999998465, 'price': 90, 'party1': 'B12', 'party2': 'S03', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 513.8249999998066, 'price': 92, 'party1': 'B09', 'party2': 'S03', 'qty': 1}
S04, 14
S04, Blotteritem, {'type': 'Trade', 'time': 21.499999999999847, 'price': 90, 'party1': 'S04', 'party2': 'B13', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 65.97499999999788, 'price': 94, 'party1': 'B09', 'party2': 'S04', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 69.5999999999987, 'price': 94, 'party1': 'B12', 'party2': 'S04', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 170.67500000002167, 'price': 94, 'party1': 'S04', 'party2': 'B19', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 202.27500000002885, 'price': 94, 'party1': 'S04', 'party2': 'B19', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 209.87500000003058, 'price': 93, 'party1': 'B15', 'party2': 'S04', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 280.30000000001894, 'price': 92, 'party1': 'B10', 'party2': 'S04', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 358.4999999999478, 'price': 93, 'party1': 'S04', 'party2': 'B11', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 401.6249999999086, 'price': 93, 'party1': 'S04', 'party2': 'B10', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 445.12499999986903, 'price': 92, 'party1': 'S04', 'party2': 'B11', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 467.6999999998485, 'price': 90, 'party1': 'B19', 'party2': 'S04', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 508.32499999981155, 'price': 92, 'party1': 'B17', 'party2': 'S04', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 514.7749999998057, 'price': 91, 'party1': 'B14', 'party2': 'S04', 'qty': 1}
S04, Blotteritem, {'type': 'Trade', 'time': 550.9749999997728, 'price': 90, 'party1': 'B08', 'party2': 'S04', 'qty': 1}
S05, 13
S05, Blotteritem, {'type': 'Trade', 'time': 28.67499999999944, 'price': 92, 'party1': 'S05', 'party2': 'B18', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 65.34999999999773, 'price': 94, 'party1': 'B18', 'party2': 'S05', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 68.2999999999984, 'price': 94, 'party1': 'B19', 'party2': 'S05', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 113.5500000000087, 'price': 94, 'party1': 'S05', 'party2': 'B09', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 151.27500000001726, 'price': 93, 'party1': 'B11', 'party2': 'S05', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 159.60000000001915, 'price': 93, 'party1': 'B09', 'party2': 'S05', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 268.15000000003, 'price': 92, 'party1': 'B19', 'party2': 'S05', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 302.0999999999991, 'price': 93, 'party1': 'S05', 'party2': 'B18', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 328.09999999997547, 'price': 92, 'party1': 'B15', 'party2': 'S05', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 360.6999999999458, 'price': 92, 'party1': 'B08', 'party2': 'S05', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 402.7499999999076, 'price': 92, 'party1': 'B19', 'party2': 'S05', 'qty': 1}
